# ==========================================================================
# 	xxx	len	max OP		000	001	002	003	004
# ==========================================================================
	  0	   31	 0.30125	----	----	----	----	----	----	----	----	----	----	
	  1	    3	 0.30079	----	----	----	----	----	----	----	----	----	----	
	  3	   43	 0.50366	----	----	----	----	----	----	----	----	----	----	
	  7	   40	 0.50077	----	----	----	1.0	----	----	----	----	42.0	----	
	  2	   51	 0.36401	----	----	3.0	----	----	----	----	24.0	----	----	
	  4	   36	 0.50123	----	----	----	----	1.0	----	----	----	----	20.0	
	  8	   64	 0.50197	----	----	----	2.4764542936288088326	0.5235457063711911674	----	----	----	86.0	56.0	
	  9	   60	 0.35824	----	----	1.0	----	----	----	----	21.0	----	----	
	 10	   80	 0.50034	----	----	----	0.98117282501525897775	1.0188271749847410222	----	----	----	108.0	64.0	
	 11	   28	 0.50283	----	----	0.098360655737704918645	1.444012225618227271	0.4576271186440678104	----	----	42.0	28.0	14.0	
	  6	   13	 0.30480	----	9.0	----	----	----	----	1.0	----	----	----	
	 14	  120	 0.44175	----	----	0.1778552746294681662	1.8221447253705318338	----	----	----	102.0	76.0	----	
	  5	   33	 0.30240	12.0	----	----	----	----	1.0	----	----	----	----	
	 15	   12	 0.30311	----	3.0	----	----	----	----	1.0	----	----	----	
	 12	   77	 0.40055	----	----	5.7237840696328269154	0.27621593036717308482	----	----	----	55.0	4.0	----	
	 16	  166	 0.42253	----	----	0.52924910422184139123	2.4707508957781586087	----	----	----	127.0	79.0	----	
	 20	  167	 0.49213	----	----	0.17027934870258520983	0.21080119835306556976	0.6189194529443492204	----	----	149.0	129.0	92.0	
	 18	    3	 0.30079	----	4.0	----	----	----	----	1.0	----	----	----	
	 21	   89	 0.50082	----	----	0.19849544356708766552	0.22485228484180475684	0.5766522715911075776	----	----	154.0	122.0	76.0	
	 19	  183	 0.44467	----	----	2.5073610804196971252	2.4926389195803028745	----	----	----	153.0	107.0	----	
	 13	   63	 0.50276	----	----	2.1187785918620228147	1.6009567014466681901	9.280264706691308995	----	----	94.0	66.0	32.0	
	 17	   28	 0.30077	7.0	----	----	----	----	1.0	----	----	----	----	
	 22	   32	 0.33082	----	4.0	----	----	----	----	1.0	----	----	----	
