# Cycle: 66, status: ACC, move: ('sh', 0.3198861531340632, 7, 17)
#     Time       Orderp
         0     0.297872
         1     0.300978
         2     0.305980
         3     0.308615
         4     0.311808
         5     0.315448
         6     0.317211
         7     0.319101
         8     0.321950
         9     0.321515
        10     0.323496
        11     0.323905
        12     0.323389
        13     0.323656
        14     0.323702
        15     0.321505
        16     0.322155
        17     0.319886
        18     0.317977
        19     0.316556
        20     0.313138
        21     0.309583
        22     0.306752
        23     0.302167
        24     0.298101
